group,medium,pathogen,dose,c_num,c_name,auc_luc_div_od,exp_n,DMSO_mean,auc_norm
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,213627.93618178667,70,210645.63318267275,1.014157915139535
LB_EHEC-FliC_10uM_C-43,LB,EHEC-FliC,10,43,Docosahexaenoic acid ethyl ester,216595.03074906877,70,210645.63318267275,1.028243631147277
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,205144.4575293497,70,210645.63318267275,0.9738842169656923
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,223180.9017793052,70,210645.63318267275,1.0595087987689817
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,216277.50673857855,70,210645.63318267275,1.0267362464192258
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,239785.13215498187,70,210645.63318267275,1.1383342181465457
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,237107.07947941648,70,210645.63318267275,1.1256206734359229
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,233737.6950675293,70,210645.63318267275,1.109625163056815
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,234174.89948661425,70,210645.63318267275,1.1117007077167216
LB_EHEC-FliC_10uM_C-42,LB,EHEC-FliC,10,42,Methyl-L-histidinate,238179.05660631967,70,210645.63318267275,1.1307096805551617
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",253564.25390034597,70,210645.63318267275,1.2037479726933338
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",296998.25561896665,70,210645.63318267275,1.4099426184705597
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",302985.68676170387,70,210645.63318267275,1.4383668067733142
LB_EHEC-FliC_10uM_C-31,LB,EHEC-FliC,10,31,DMSO,2330.8046981168704,70,210645.63318267275,0.011065051114046058
LB_EHEC-FliC_10uM_C-31,LB,EHEC-FliC,10,31,DMSO,2050.8337653934086,70,210645.63318267275,0.009735942466060606
LB_EHEC-FliC_10uM_C-31,LB,EHEC-FliC,10,31,DMSO,2303.1708279996387,70,210645.63318267275,0.010933864581955608
LB_EHEC-FliC_10uM_C-31,LB,EHEC-FliC,10,31,DMSO,2147.219929017459,70,210645.63318267275,0.010193517409190158
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,203843.42609688154,70,210645.63318267275,0.9677078181825288
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,203950.51417238705,70,210645.63318267275,0.9682161984128117
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,203052.40916566196,70,210645.63318267275,0.9639526160486511
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,204355.15829014496,70,210645.63318267275,0.970137169247308
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,202909.25477046036,70,210645.63318267275,0.963273017838906
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,202248.24881738084,70,210645.63318267275,0.9601350180470645
LB_EHEC-FliC_10uM_C-25,LB,EHEC-FliC,10,25,N-Acetyl-L-methionine,204083.22790118653,70,210645.63318267275,0.9688462315485302
LB_EHEC-FliC_10uM_C-25,LB,EHEC-FliC,10,25,N-Acetyl-L-methionine,199707.6794404629,70,210645.63318267275,0.9480741490960584
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,198146.4661179978,67,197589.58204519405,1.0028183878271293
LB_EHEC-FliC_10uM_C-25,LB,EHEC-FliC,10,25,N-Acetyl-L-methionine,218343.74576132448,70,210645.63318267275,1.0365453224087293
LB_EHEC-FliC_10uM_C-25,LB,EHEC-FliC,10,25,N-Acetyl-L-methionine,202966.99990399112,70,210645.63318267275,0.9635471518556348
LB_EHEC-FliC_10uM_C-25,LB,EHEC-FliC,10,25,N-Acetyl-L-methionine,215632.2254136934,70,210645.63318267275,1.0236728963030355
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,283029.14796225703,70,210645.63318267275,1.3436269420159923
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,298040.2225655012,70,210645.63318267275,1.414889157977652
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,288630.9994358649,70,210645.63318267275,1.3702206643209305
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,268762.4603365696,70,210645.63318267275,1.2758985613696425
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,295202.0837509727,70,210645.63318267275,1.4014156348305224
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,293809.3462069328,70,210645.63318267275,1.3948038787594526
LB_EHEC-FliC_10uM_C-21,LB,EHEC-FliC,10,21,Heptanoic acid,281207.27722378605,70,210645.63318267275,1.3349779578858962
LB_EHEC-FliC_10uM_C-17,LB,EHEC-FliC,10,17,L-Lysine,215026.80408618797,70,210645.63318267275,1.0207987739281348
LB_EHEC-FliC_10uM_C-17,LB,EHEC-FliC,10,17,L-Lysine,212786.72721278243,70,210645.63318267275,1.0101644358715611
LB_EHEC-FliC_10uM_C-17,LB,EHEC-FliC,10,17,L-Lysine,216826.9957879652,70,210645.63318267275,1.0293448409629833
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,324443.7885178122,70,210645.63318267275,1.5402350555088566
LB_EHEC-FliC_10uM_C-30,LB,EHEC-FliC,10,30,DMSO,207956.93000011786,61,206463.06473617366,1.0072355085199045
LB_EHEC-FliC_10uM_C-25,LB,EHEC-FliC,10,25,N-Acetyl-L-methionine,200097.72093265742,70,210645.63318267275,0.9499257967485699
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,327773.2070373986,70,210645.63318267275,1.5560408354307176
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,327034.3569003877,70,210645.63318267275,1.5525332852107223
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,319584.7601593986,70,210645.63318267275,1.5171677443806937
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,329941.12544792093,70,210645.63318267275,1.5663326149362642
LB_EHEC-FliC_10uM_C-10,LB,EHEC-FliC,10,10,Hexanoic acid,332048.9691665268,70,210645.63318267275,1.5763392012905988
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,236471.66771548952,68,177110.22981399036,1.3351666245582956
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,238964.45757216227,68,177110.22981399036,1.349241417749467
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,226617.16599809547,68,177110.22981399036,1.27952612469703
LB_EHEC-FliC_10uM_C-29,LB,EHEC-FliC,10,29,PAC,131422.20908197065,68,177110.22981399036,0.7420362404814027
LB_EHEC-FliC_10uM_C-29,LB,EHEC-FliC,10,29,PAC,133245.68275410577,68,177110.22981399036,0.7523319397984338
LB_EHEC-FliC_10uM_C-29,LB,EHEC-FliC,10,29,PAC,131854.8372472544,68,177110.22981399036,0.7444789461666594
LB_EHEC-FliC_10uM_C-17,LB,EHEC-FliC,10,17,L-Lysine,216546.71262674153,70,210645.63318267275,1.0280142500696956
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,172168.64894306616,68,177110.22981399036,0.9720988399364956
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,168568.29678360705,68,177110.22981399036,0.9517705270929044
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,174751.4586791848,68,177110.22981399036,0.9866819034830295
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,168212.96249828135,68,177110.22981399036,0.9497642382088638
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,252390.5669381061,67,197589.58204519405,1.2773475419386109
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,245850.3446495847,67,197589.58204519405,1.2442475058900226
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,251755.04196887635,67,197589.58204519405,1.2741311528828134
LB_EHEC-FliC_10uM_C-6,LB,EHEC-FliC,10,6,4-Methylbenzoic acid,250200.51264546975,67,197589.58204519405,1.266263686858967
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",226841.2737632125,67,197589.58204519405,1.1480426822874081
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",238729.6034421725,67,197589.58204519405,1.2082094661628902
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",240715.91709232636,67,197589.58204519405,1.2182621907528919
LB_EHEC-FliC_10uM_C-41,LB,EHEC-FliC,10,41,"3,4-Dimethylbenzoic acid",235339.86580433225,67,197589.58204519405,1.1910540189841774
LB_EHEC-FliC_10uM_C-29,LB,EHEC-FliC,10,29,PAC,153400.6535759025,67,197589.58204519405,0.7763600286416703
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,201382.0468139803,67,197589.58204519405,1.019193647405554
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,211111.09483137543,70,210645.63318267275,1.0022096904724298
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,192229.16207947914,67,197589.58204519405,0.9728709382841407
LB_EHEC-FliC_10uM_C-1,LB,EHEC-FliC,10,1,L-Tyrosine methyl ester,184346.81085842304,67,197589.58204519405,0.9329783936496103
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,205679.18845755898,66,198887.6915708579,1.034147396618968
LB_EHEC-FliC_10uM_C-46,LB,EHEC-FliC,10,46,Prolylleucine,205271.15275531186,66,198887.6915708579,1.0320958081117841
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,204672.45118788787,66,198887.6915708579,1.0290855586453878
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,210016.87163373045,66,198887.6915708579,1.0559571081295775
LB_EHEC-FliC_10uM_C-45,LB,EHEC-FliC,10,45,Kanosamine,194751.23335179582,66,198887.6915708579,0.9792020401745758
LB_EHEC-FliC_10uM_C-44,LB,EHEC-FliC,10,44,4-Dodecylbenzenesulfonic acid,200916.54322975184,66,198887.6915708579,1.010200991538841
